source,destination,distance,time,road_type,toll
A,B,2.5,5,local,0
B,A,2.5,5,local,0
B,C,1.8,4,local,0
C,B,1.8,4,local,0
B,D,3.2,6,highway,1
D,B,3.2,6,highway,1
C,E,2.0,4,highway,0
E,C,2.0,4,highway,0
D,E,1.5,3,local,0
E,D,1.5,3,local,0
E,F,2.2,5,local,0
F,E,2.2,5,local,0
E,G,3.0,7,highway,1
G,E,3.0,7,highway,1
F,G,1.8,4,local,0
G,F,1.8,4,local,0
G,H,2.5,5,local,0
H,G,2.5,5,local,0
D,I,2.8,6,local,0
I,D,2.8,6,local,0
I,E,1.2,3,local,0
E,I,1.2,3,local,0
I,J,1.5,3,local,0
J,I,1.5,3,local,0
J,B,2.0,5,local,0
B,J,2.0,5,local,0
